r,t,y,TotalTechnologyAnnualActivity
RE1,MINCOA,2020,321.6672
RE1,MINCOA,2021,321.6672
RE1,MINCOA,2022,321.6672
RE1,MINCOA,2023,321.6672
RE1,MINCOA,2024,321.6672
RE1,MINCOA,2025,321.6672
RE1,MINCOA,2026,321.6672
RE1,MINCOA,2027,321.6672
RE1,MINCOA,2028,321.6672
RE1,MINCOA,2029,321.6672
RE1,MINCOA,2030,160.8336
RE1,MINCOA,2031,160.8336
RE1,MINCOA,2032,160.8336
RE1,MINCOA,2033,160.8336
RE1,MINCOA,2034,160.8336
RE1,MINCOA,2035,160.8336
RE1,MINGAS,2020,39.5813
RE1,MINGAS,2021,65.8485
RE1,MINGAS,2022,98.8758
RE1,MINGAS,2023,134.1589
RE1,MINGAS,2024,169.3428
RE1,MINGAS,2025,206.809
RE1,MINGAS,2026,256.9613
RE1,MINGAS,2027,300.2699
RE1,MINGAS,2028,345.8581
RE1,MINGAS,2029,395.9119
RE1,MINGAS,2030,555.4327
RE1,MINGAS,2031,609.6529
RE1,MINGAS,2032,668.3316
RE1,MINGAS,2033,729.2718
RE1,MINGAS,2034,794.7119
RE1,MINGAS,2035,862.4052
RE1,PWRGAS,2020,19.7906
RE1,PWRGAS,2021,32.9243
RE1,PWRGAS,2022,49.4379
RE1,PWRGAS,2023,67.0794
RE1,PWRGAS,2024,84.6714
RE1,PWRGAS,2025,103.4045
RE1,PWRGAS,2026,128.4806
RE1,PWRGAS,2027,150.135
RE1,PWRGAS,2028,172.929
RE1,PWRGAS,2029,197.956
RE1,PWRGAS,2030,277.7164
RE1,PWRGAS,2031,304.8264
RE1,PWRGAS,2032,334.1658
RE1,PWRGAS,2033,364.6359
RE1,PWRGAS,2034,397.356
RE1,PWRGAS,2035,431.2026
RE1,PWRCOA,2020,107.2224
RE1,PWRCOA,2021,107.2224
RE1,PWRCOA,2022,107.2224
RE1,PWRCOA,2023,107.2224
RE1,PWRCOA,2024,107.2224
RE1,PWRCOA,2025,107.2224
RE1,PWRCOA,2026,107.2224
RE1,PWRCOA,2027,107.2224
RE1,PWRCOA,2028,107.2224
RE1,PWRCOA,2029,107.2224
RE1,PWRCOA,2030,53.6112
RE1,PWRCOA,2031,53.6112
RE1,PWRCOA,2032,53.6112
RE1,PWRCOA,2033,53.6112
RE1,PWRCOA,2034,53.6112
RE1,PWRCOA,2035,53.6112
RE1,PWRTRN,2020,177.395
RE1,PWRTRN,2021,191.2284
RE1,PWRTRN,2022,208.4497
RE1,PWRTRN,2023,226.7934
RE1,PWRTRN,2024,245.093
RE1,PWRTRN,2025,264.5292
RE1,PWRTRN,2026,286.1929
RE1,PWRTRN,2027,307.8663
RE1,PWRTRN,2028,330.6803
RE1,PWRTRN,2029,355.7288
RE1,PWRTRN,2030,381.8998
RE1,PWRTRN,2031,409.0447
RE1,PWRTRN,2032,438.4276
RE1,PWRTRN,2033,468.9414
RE1,PWRTRN,2034,501.6966
RE1,PWRTRN,2035,535.5875
RE1,RSCLND,2020,300.0
RE1,RSCLND,2021,299.9
RE1,RSCLND,2022,299.9
RE1,RSCLND,2023,299.9
RE1,RSCLND,2024,299.9
RE1,RSCLND,2025,299.9
RE1,RSCLND,2026,300.0
RE1,RSCLND,2027,300.0
RE1,RSCLND,2028,300.0
