r,t,y,AnnualizedInvestmentCost
RE1,DEMAGRDSL,2020,0.0002
RE1,DEMAGRDSL,2021,0.0002
RE1,DEMAGRDSL,2022,0.0002
RE1,DEMAGRDSL,2023,0.0002
RE1,DEMAGRDSL,2024,0.0002
RE1,DEMAGRDSL,2025,0.0002
RE1,DEMAGRDSL,2026,0.0003
RE1,DEMAGRDSL,2027,0.0003
RE1,DEMAGRDSL,2028,0.0003
RE1,DEMAGRDSL,2029,0.0003
RE1,DEMAGRDSL,2030,0.0003
RE1,DEMAGRDSL,2031,0.0003
RE1,DEMAGRDSL,2032,0.0003
RE1,DEMAGRDSL,2033,0.0003
RE1,DEMAGRDSL,2034,0.0003
RE1,DEMAGRDSL,2035,0.0003
RE1,DEMAGRSURWAT,2023,0.5467424205127269
RE1,DEMAGRSURWAT,2024,1.9212291597288211
RE1,DEMAGRSURWAT,2025,3.33282618498282
RE1,DEMAGRSURWAT,2026,4.709399231465872
RE1,DEMAGRSURWAT,2027,6.089273687250484
RE1,DEMAGRSURWAT,2028,7.5070761392472285
RE1,DEMAGRSURWAT,2029,8.9282258534525
RE1,DEMAGRSURWAT,2030,10.351416022017762
RE1,DEMAGRSURWAT,2031,10.610637789399501
RE1,DEMAGRSURWAT,2032,10.871938221897036
RE1,DEMAGRSURWAT,2033,11.13532496166153
RE1,DEMAGRSURWAT,2034,11.398711701426024
RE1,DEMAGRSURWAT,2035,11.667486157759035
RE1,DEMPUBSURWAT,2021,3.1089340824184686
RE1,DEMPUBSURWAT,2022,6.820688690569216
RE1,DEMPUBSURWAT,2023,10.63276181701065
RE1,DEMPUBSURWAT,2024,14.595308899812533
RE1,DEMPUBSURWAT,2025,18.75849301919579
RE1,DEMPUBSURWAT,2026,23.072151094939493
RE1,DEMPUBSURWAT,2027,27.536290769194807
RE1,DEMPUBSURWAT,2028,32.251222918101256
RE1,DEMPUBSURWAT,2029,37.116629023368155
RE1,DEMPUBSURWAT,2030,42.23282760328619
RE1,DEMPUBSURWAT,2031,47.54966321978559
RE1,DEMPUBSURWAT,2032,53.06713587286637
RE1,DEMPUBSURWAT,2033,58.83540100059829
RE1,DEMPUBSURWAT,2034,64.85445860298134
RE1,DEMPUBSURWAT,2035,71.17447176023644
RE1,DEMPWRSURWAT,2022,0.05529860580112789
RE1,DEMPWRSURWAT,2023,0.06140468457878145
RE1,DEMPWRSURWAT,2024,0.06140468457878145
RE1,DEMPWRSURWAT,2025,0.06140468457878145
RE1,DEMPWRSURWAT,2026,0.06140468457878145
RE1,DEMPWRSURWAT,2027,0.06140468457878145
RE1,DEMPWRSURWAT,2028,0.06140468457878145
RE1,DEMPWRSURWAT,2029,0.06140468457878145
RE1,DEMPWRSURWAT,2030,0.06140468457878145
RE1,DEMPWRSURWAT,2031,0.06140468457878145
RE1,DEMPWRSURWAT,2032,0.06140468457878145
RE1,DEMPWRSURWAT,2033,0.06140468457878145
RE1,DEMPWRSURWAT,2034,0.06140468457878145
RE1,DEMPWRSURWAT,2035,0.06140468457878145
RE1,DEMTRABIO,2020,0.0001
RE1,DEMTRABIO,2021,0.0001
RE1,DEMTRABIO,2022,0.0001
RE1,DEMTRABIO,2023,0.0001
RE1,DEMTRABIO,2024,0.0001
RE1,DEMTRABIO,2025,0.0001
RE1,DEMTRABIO,2026,0.0001
RE1,DEMTRABIO,2027,0.0001
RE1,DEMTRABIO,2028,0.0001
RE1,DEMTRABIO,2029,0.0002
RE1,DEMTRABIO,2030,0.0002
RE1,DEMTRABIO,2031,0.0002
RE1,DEMTRABIO,2032,0.0002
RE1,DEMTRABIO,2033,0.0002
RE1,DEMTRABIO,2034,0.0002
RE1,DEMTRABIO,2035,0.0002
RE1,LNDBLT,2021,377.27771851714783
RE1,LNDBLT,2022,732.3626300626986
RE1,LNDBLT,2023,1109.6403485798464
RE1,LNDBLT,2024,1464.7252601253972
RE1,LNDBLT,2025,1842.002978642545
RE1,LNDBLT,2026,2197.087890188096
RE1,LNDBLT,2027,2574.365608705244
RE1,LNDBLT,2028,2929.450520250795
RE1,LNDBLT,2029,3306.7282387679425
RE1,LNDBLT,2030,3684.0059572850905
RE1,LNDBLT,2031,3706.1987642566874
RE1,LNDBLT,2032,3750.584378199881
RE1,LNDBLT,2033,3794.9699921430747
RE1,LNDBLT,2034,3817.1627991146715
RE1,LNDBLT,2035,3861.548413057865
RE1,LNDFOR,2021,131.92951235312205
RE1,LNDFOR,2022,276.9217307593191
RE1,LNDFOR,2023,394.931851914216
RE1,LNDFOR,2024,864.9892976554846
RE1,LNDFOR,2025,1081.0482182062453
RE1,LNDFOR,2026,1298.1559552244953
RE1,LNDFOR,2027,1513.5315375448913
RE1,LNDFOR,2028,1730.408787284125
RE1,LNDFOR,2029,1945.5685476135827
RE1,LNDFOR,2030,2161.5624334579634
RE1,LNDFOR,2031,2161.5624334579634
RE1,LNDFOR,2032,2161.5624334579634
RE1,LNDFOR,2033,2161.5624334579634
RE1,LNDFOR,2034,2161.5624334579634
RE1,LNDFOR,2035,2161.5624334579634
RE1,LNDMAIIRR,2020,0.003596778737411792
RE1,LNDMAIIRR,2021,2.025619535624271
RE1,LNDMAIIRR,2022,4.057900452277524
RE1,LNDMAIIRR,2023,6.079923209164383
RE1,LNDMAIIRR,2024,8.112204125817636
RE1,LNDMAIIRR,2025,10.255810849667363
RE1,LNDMAIIRR,2026,12.283412283779596
RE1,LNDMAIIRR,2027,14.325951360199243
RE1,LNDMAIIRR,2028,16.479816243815364
RE1,LNDMAIIRR,2029,18.633681127431483
RE1,LNDMAIIRR,2030,20.797813346269958
RE1,LNDMAIIRR,2031,21.376527704754746
RE1,LNDMAIIRR,2032,21.955242063239535
RE1,LNDMAIIRR,2033,22.533956421724323
RE1,LNDMAIIRR,2034,23.11267078020911
RE1,LNDMAIIRR,2035,23.701643298460294
RE1,LNDRICIRR,2020,0.13576922188133236
RE1,LNDRICIRR,2021,1.1398393678889152
RE1,LNDRICIRR,2022,2.2830002508363583
RE1,LNDRICIRR,2023,3.428748612365307
RE1,LNDRICIRR,2024,4.581094126731498
RE1,LNDRICIRR,2025,5.737440139897464
RE1,LNDRICIRR,2026,6.90353966275187
RE1,LNDRICIRR,2027,8.062482329955303
RE1,LNDRICIRR,2028,9.22802214999598
RE1,LNDRICIRR,2029,10.404159621673672
RE1,LNDRICIRR,2030,11.576296594551591
RE1,LNDRICIRR,2031,11.807160242031228
RE1,LNDRICIRR,2032,12.044621042348108
RE1,LNDRICIRR,2033,12.28867899550223
RE1,LNDRICIRR,2034,12.532736948656353
RE1,LNDRICIRR,2035,12.783392054647718
RE1,LNDWAT,2020,0.0025
RE1,LNDWAT,2021,0.0035
RE1,LNDWAT,2022,0.0043
RE1,LNDWAT,2023,0.0055
RE1,LNDWAT,2024,0.0025
RE1,LNDWAT,2025,0.0025
RE1,LNDWAT,2026,0.0025
RE1,LNDWAT,2027,0.0025
RE1,LNDWAT,2028,0.0025
RE1,LNDWAT,2029,0.0025
RE1,LNDWAT,2030,0.0025
RE1,LNDWAT,2031,0.0026
RE1,LNDWAT,2032,0.0026
RE1,LNDWAT,2033,0.0027
RE1,LNDWAT,2034,0.0028
RE1,LNDWAT,2035,0.0028
RE1,MINGAS,2020,0.0020444736739515515
RE1,MINGAS,2021,0.0022365302918076063
RE1,MINGAS,2022,0.002335656288120409
RE1,MINGAS,2023,0.002341851662889959
RE1,MINGAS,2024,0.002341851662889959
RE1,MINGAS,2025,0.002341851662889959
RE1,MINGAS,2026,0.002341851662889959
RE1,MINGAS,2027,0.002341851662889959
RE1,MINGAS,2028,0.002341851662889959
RE1,MINGAS,2029,0.002341851662889959
RE1,MINGAS,2030,0.002341851662889959
RE1,MINGAS,2031,0.002341851662889959
RE1,MINGAS,2032,0.002341851662889959
RE1,MINGAS,2033,0.002341851662889959
RE1,MINGAS,2034,0.002341851662889959
RE1,MINGAS,2035,0.002341851662889959
RE1,PWRTRN,2022,25.605221653481877
RE1,PWRTRN,2023,107.92134542913794
RE1,PWRTRN,2024,190.08970199508508
RE1,PWRTRN,2025,277.3630232143715
RE1,PWRTRN,2026,374.5455391592876
RE1,PWRTRN,2027,471.88655311473616
RE1,PWRTRN,2028,574.3522242982235
RE1,PWRTRN,2029,686.8635094007801
RE1,PWRTRN,2030,804.4640663324645
RE1,PWRTRN,2031,926.450954739878
RE1,PWRTRN,2032,1058.5996733888658
RE1,PWRTRN,2033,1195.740600663156
RE1,PWRTRN,2034,1343.1095703304786
RE1,PWRTRN,2035,1495.585414617048
RE1,PWRWND,2023,98.18601546664203
RE1,PWRWND,2024,246.66854907165052
RE1,PWRWND,2025,388.3892152289307
RE1,PWRWND,2026,742.0344403953613
RE1,PWRWND,2027,900.0959279188107
RE1,PWRWND,2028,1066.4769487960477
RE1,PWRWND,2029,1249.155993390546
RE1,PWRWND,2030,1440.0884233224174
RE1,PWRWND,2031,1896.1895843957864
RE1,PWRWND,2032,2178.6222663302406
RE1,PWRWND,2033,2823.1370162061744
RE1,PWRWND,2034,3022.6696175781444
RE1,PWRWND,2035,3233.9700297515114
RE1,RSCHYD,2020,0.011
RE1,RSCHYD,2021,0.0114
RE1,RSCHYD,2022,0.0117
RE1,RSCHYD,2023,0.0122
RE1,RSCHYD,2024,0.011
RE1,RSCHYD,2025,0.011
RE1,RSCHYD,2026,0.011
RE1,RSCHYD,2027,0.0111
RE1,RSCHYD,2028,0.0111
RE1,RSCHYD,2029,0.0111
RE1,RSCHYD,2030,0.0111
RE1,RSCHYD,2031,0.0111
RE1,RSCHYD,2032,0.0112
RE1,RSCHYD,2033,0.0112
RE1,RSCHYD,2034,0.0112
RE1,RSCHYD,2035,0.0113
RE1,RSCLND,2020,0.03
RE1,RSCLND,2021,0.03
RE1,RSCLND,2022,0.03
RE1,RSCLND,2023,0.03
