r,l,t,m,y,RateOfActivity
RE1,SummerDay,MINCOA,1,2020,291.0997
RE1,SummerNight,MINCOA,1,2020,328.7281
RE1,S21,MINCOA,1,2020,320.816
RE1,S22,MINCOA,1,2020,378.432
RE1,SummerDay,MINCOA,1,2021,325.9716
RE1,SummerNight,MINCOA,1,2021,363.3372
RE1,S21,MINCOA,1,2021,267.8514
RE1,S22,MINCOA,1,2021,378.432
RE1,SummerDay,MINCOA,1,2022,369.2824
RE1,SummerNight,MINCOA,1,2022,378.432
RE1,S21,MINCOA,1,2022,216.225
RE1,S22,MINCOA,1,2022,378.432
RE1,SummerDay,MINCOA,1,2023,378.432
RE1,SummerNight,MINCOA,1,2023,378.432
RE1,S21,MINCOA,1,2023,206.9371
RE1,S22,MINCOA,1,2023,378.432
RE1,SummerDay,MINCOA,1,2024,378.432
RE1,SummerNight,MINCOA,1,2024,378.432
RE1,S21,MINCOA,1,2024,206.9371
RE1,S22,MINCOA,1,2024,378.432
RE1,SummerDay,MINCOA,1,2025,335.498
RE1,SummerNight,MINCOA,1,2025,378.432
RE1,S21,MINCOA,1,2025,250.5197
RE1,S22,MINCOA,1,2025,378.432
RE1,SummerDay,MINCOA,1,2026,296.7483
RE1,SummerNight,MINCOA,1,2026,378.432
RE1,S21,MINCOA,1,2026,378.432
RE1,S22,MINCOA,1,2026,200.7406
RE1,SummerDay,MINCOA,1,2027,303.738
RE1,SummerNight,MINCOA,1,2027,378.432
RE1,S21,MINCOA,1,2027,378.432
RE1,S22,MINCOA,1,2027,186.507
RE1,SummerDay,MINCOA,1,2028,311.0974
RE1,SummerNight,MINCOA,1,2028,378.432
RE1,S21,MINCOA,1,2028,378.432
RE1,S22,MINCOA,1,2028,171.5206
RE1,SummerDay,MINCOA,1,2029,319.1566
RE1,SummerNight,MINCOA,1,2029,378.432
RE1,S21,MINCOA,1,2029,378.432
RE1,S22,MINCOA,1,2029,155.1092
RE1,SummerDay,MINCOA,1,2030,189.216
RE1,SummerNight,MINCOA,1,2030,20.2731
RE1,S21,MINCOA,1,2030,189.216
RE1,S22,MINCOA,1,2030,189.216
RE1,SummerDay,MINCOA,1,2031,104.7446
RE1,SummerNight,MINCOA,1,2031,189.216
RE1,S21,MINCOA,1,2031,189.216
RE1,S22,MINCOA,1,2031,189.216
RE1,SummerDay,MINCOA,1,2032,189.216
RE1,SummerNight,MINCOA,1,2032,20.2731
RE1,S21,MINCOA,1,2032,189.216
RE1,S22,MINCOA,1,2032,189.216
RE1,SummerDay,MINCOA,1,2033,189.216
RE1,SummerNight,MINCOA,1,2033,20.2731
RE1,S21,MINCOA,1,2033,189.216
RE1,S22,MINCOA,1,2033,189.216
RE1,SummerDay,MINCOA,1,2034,189.216
RE1,SummerNight,MINCOA,1,2034,20.2731
RE1,S21,MINCOA,1,2034,189.216
RE1,S22,MINCOA,1,2034,189.216
RE1,SummerDay,MINCOA,1,2035,189.216
RE1,SummerNight,MINCOA,1,2035,20.2731
RE1,S21,MINCOA,1,2035,189.216
RE1,S22,MINCOA,1,2035,189.216
RE1,S21,MINGAS,1,2020,116.1203
RE1,S22,MINGAS,1,2020,6.9423
RE1,S21,MINGAS,1,2021,185.625
RE1,S22,MINGAS,1,2021,34.9903
RE1,SummerNight,MINGAS,1,2022,18.728
RE1,S21,MINGAS,1,2022,262.605
RE1,S22,MINGAS,1,2022,70.0393
RE1,SummerDay,MINGAS,1,2023,24.6377
RE1,SummerNight,MINGAS,1,2023,49.3984
RE1,S21,MINGAS,1,2023,314.1413
RE1,S22,MINGAS,1,2023,107.387
RE1,SummerDay,MINGAS,1,2024,55.2921
RE1,SummerNight,MINGAS,1,2024,79.9673
RE1,S21,MINGAS,1,2024,359.4115
RE1,S22,MINGAS,1,2024,144.6365
RE1,SummerDay,MINGAS,1,2025,116.4643
