r,t,y,CapitalInvestment
RE1,DEMPWRSURWAT,2020,0.0
RE1,DEMPWRSURWAT,2021,0.0
RE1,DEMPWRSURWAT,2022,0.0
RE1,DEMPWRSURWAT,2023,0.0
RE1,DEMPWRSURWAT,2024,0.0
RE1,DEMPWRSURWAT,2025,0.0
RE1,DEMPWRSURWAT,2026,0.0
RE1,DEMPWRSURWAT,2027,0.0
RE1,DEMPWRSURWAT,2028,0.0
RE1,DEMPWRSURWAT,2029,0.0
RE1,DEMPWRSURWAT,2030,0.0
RE1,DEMPWRSURWAT,2031,0.0
RE1,DEMPWRSURWAT,2032,0.0
RE1,DEMPWRSURWAT,2033,0.0
RE1,DEMPWRSURWAT,2034,0.0
RE1,DEMPWRSURWAT,2035,0.0
RE1,LNDBLT,2020,0.0004
RE1,LNDBLT,2021,0.0004
RE1,LNDBLT,2022,0.0004
RE1,LNDBLT,2023,0.0004
RE1,LNDBLT,2024,0.0011
RE1,LNDBLT,2025,0.0011
RE1,LNDBLT,2026,0.0012
RE1,LNDBLT,2027,0.0012
RE1,LNDBLT,2028,0.0013
RE1,LNDBLT,2029,0.0013
RE1,LNDBLT,2030,0.0013
RE1,LNDBLT,2031,0.0014
RE1,LNDBLT,2032,0.0014
RE1,LNDBLT,2033,0.0015
RE1,LNDBLT,2034,0.0015
RE1,LNDBLT,2035,0.0015
RE1,LNDFOR,2020,0.0068
RE1,LNDFOR,2021,0.0067
RE1,LNDFOR,2022,0.0067
RE1,LNDFOR,2023,0.0066
RE1,LNDFOR,2024,0.0164
RE1,LNDFOR,2025,0.0156
RE1,LNDFOR,2026,0.0154
RE1,LNDFOR,2027,0.0151
RE1,LNDFOR,2028,0.0148
RE1,LNDFOR,2029,0.0146
RE1,LNDFOR,2030,0.0143
RE1,LNDFOR,2031,0.014
RE1,LNDFOR,2032,0.0137
RE1,LNDFOR,2033,0.0134
RE1,LNDFOR,2034,0.0131
RE1,LNDFOR,2035,0.0127
RE1,LNDMAIHI,2020,0.0
RE1,LNDMAIHI,2021,0.0
RE1,LNDMAIHI,2022,0.0
RE1,LNDMAIHI,2023,0.0
RE1,LNDMAIHI,2024,0.0
RE1,LNDMAIHI,2025,0.0
RE1,LNDMAIHI,2026,0.0
RE1,LNDMAIHI,2027,0.0
RE1,LNDMAIHI,2028,0.0
RE1,LNDMAIHI,2029,0.0
RE1,LNDMAIHI,2030,0.0
RE1,LNDMAIHI,2031,0.0
RE1,LNDMAIHI,2032,0.0
RE1,LNDMAIHI,2033,0.0
RE1,LNDMAIHI,2034,0.0
RE1,LNDMAIHI,2035,0.0
RE1,LNDMAIHR,2020,0.002
RE1,LNDMAIHR,2021,0.002
RE1,LNDMAIHR,2022,0.0021
RE1,LNDMAIHR,2023,0.0021
RE1,LNDMAIHR,2024,0.0055
RE1,LNDMAIHR,2025,0.0056
RE1,LNDMAIHR,2026,0.0057
RE1,LNDMAIHR,2027,0.0059
RE1,LNDMAIHR,2028,0.006
RE1,LNDMAIHR,2029,0.0062
RE1,LNDMAIHR,2030,0.0063
RE1,LNDMAIHR,2031,0.0065
RE1,LNDMAIHR,2032,0.0067
RE1,LNDMAIHR,2033,0.0068
RE1,LNDMAIHR,2034,0.007
RE1,LNDMAIHR,2035,0.0072
RE1,LNDRICHI,2020,0.0
RE1,LNDRICHI,2021,0.0
RE1,LNDRICHI,2022,0.0
RE1,LNDRICHI,2023,0.0
RE1,LNDRICHI,2024,0.0
