r,t,y,AnnualVariableOperatingCost
RE1,DEMPWRSURWAT,2020,0.0
RE1,DEMPWRSURWAT,2021,0.0
RE1,DEMPWRSURWAT,2022,0.0
RE1,DEMPWRSURWAT,2023,0.0
RE1,DEMPWRSURWAT,2024,0.0
RE1,DEMPWRSURWAT,2025,0.0
RE1,DEMPWRSURWAT,2026,0.0
RE1,DEMPWRSURWAT,2027,0.0
RE1,DEMPWRSURWAT,2028,0.0
RE1,DEMPWRSURWAT,2029,0.0
RE1,DEMPWRSURWAT,2030,0.0
RE1,DEMPWRSURWAT,2031,0.0
RE1,DEMPWRSURWAT,2032,0.0
RE1,DEMPWRSURWAT,2033,0.0
RE1,DEMPWRSURWAT,2034,0.0
RE1,DEMPWRSURWAT,2035,0.0
RE1,LNDBLT,2020,0.001
RE1,LNDBLT,2021,0.001
RE1,LNDBLT,2022,0.0011
RE1,LNDBLT,2023,0.0011
RE1,LNDBLT,2024,0.0011
RE1,LNDBLT,2025,0.0012
RE1,LNDBLT,2026,0.0012
RE1,LNDBLT,2027,0.0012
RE1,LNDBLT,2028,0.0013
RE1,LNDBLT,2029,0.0013
RE1,LNDBLT,2030,0.0013
RE1,LNDBLT,2031,0.0014
RE1,LNDBLT,2032,0.0014
RE1,LNDBLT,2033,0.0015
RE1,LNDBLT,2034,0.0015
RE1,LNDBLT,2035,0.0016
RE1,LNDFOR,2020,-350.0
RE1,LNDFOR,2021,-345.3
RE1,LNDFOR,2022,-340.8
RE1,LNDFOR,2023,-335.85
RE1,LNDFOR,2024,-330.7
RE1,LNDFOR,2025,-325.75
RE1,LNDFOR,2026,-320.6
RE1,LNDFOR,2027,-315.25
RE1,LNDFOR,2028,-309.65
RE1,LNDFOR,2029,-304.0
RE1,LNDFOR,2030,-298.4
RE1,LNDFOR,2031,-292.35
RE1,LNDFOR,2032,-286.3
RE1,LNDFOR,2033,-280.05
RE1,LNDFOR,2034,-273.75
RE1,LNDFOR,2035,-267.25
RE1,LNDMAIHI,2020,0.0
RE1,LNDMAIHI,2021,0.0
RE1,LNDMAIHI,2022,0.0
RE1,LNDMAIHI,2023,0.0
RE1,LNDMAIHI,2024,0.0
RE1,LNDMAIHI,2025,0.0
RE1,LNDMAIHI,2026,0.0
RE1,LNDMAIHI,2027,0.0
RE1,LNDMAIHI,2028,0.0
RE1,LNDMAIHI,2029,0.0
RE1,LNDMAIHI,2030,0.0
RE1,LNDMAIHI,2031,0.0
RE1,LNDMAIHI,2032,0.0
RE1,LNDMAIHI,2033,0.0
RE1,LNDMAIHI,2034,0.0
RE1,LNDMAIHI,2035,0.0
RE1,LNDMAIHR,2020,0.005
RE1,LNDMAIHR,2021,0.0051
RE1,LNDMAIHR,2022,0.0052
RE1,LNDMAIHR,2023,0.0054
RE1,LNDMAIHR,2024,0.0055
RE1,LNDMAIHR,2025,0.0057
RE1,LNDMAIHR,2026,0.0058
RE1,LNDMAIHR,2027,0.0059
RE1,LNDMAIHR,2028,0.0061
RE1,LNDMAIHR,2029,0.0062
RE1,LNDMAIHR,2030,0.0064
RE1,LNDMAIHR,2031,0.0066
RE1,LNDMAIHR,2032,0.0067
RE1,LNDMAIHR,2033,0.0069
RE1,LNDMAIHR,2034,0.0071
RE1,LNDMAIHR,2035,0.0072
RE1,LNDRICHI,2020,0.0
RE1,LNDRICHI,2021,0.0
RE1,LNDRICHI,2022,0.0
RE1,LNDRICHI,2023,0.0
