r,l,t,m,y,RateOfActivity
RE1,S11,DEMPWRSURWAT,1,2020,0.0
RE1,S11,DEMPWRSURWAT,1,2021,0.0
RE1,S11,DEMPWRSURWAT,1,2022,0.0
RE1,S11,DEMPWRSURWAT,1,2023,0.0
RE1,S11,DEMPWRSURWAT,1,2024,0.0
RE1,S11,DEMPWRSURWAT,1,2025,0.0
RE1,S11,DEMPWRSURWAT,1,2026,0.0
RE1,S11,DEMPWRSURWAT,1,2027,0.0
RE1,S11,DEMPWRSURWAT,1,2028,0.0
RE1,S11,DEMPWRSURWAT,1,2029,0.0
RE1,S11,DEMPWRSURWAT,1,2030,0.0
RE1,S11,DEMPWRSURWAT,1,2031,0.0
RE1,S11,DEMPWRSURWAT,1,2032,0.0
RE1,S11,DEMPWRSURWAT,1,2033,0.0
RE1,S11,DEMPWRSURWAT,1,2034,0.0
RE1,S11,DEMPWRSURWAT,1,2035,0.0
RE1,S11,LNDBLT,1,2020,3.9062
RE1,S11,LNDBLT,1,2021,4.0234
RE1,S11,LNDBLT,1,2022,4.1406
RE1,S11,LNDBLT,1,2023,4.2578
RE1,S11,LNDBLT,1,2024,11.1881
RE1,S11,LNDBLT,1,2025,11.4851
RE1,S11,LNDBLT,1,2026,11.7822
RE1,S11,LNDBLT,1,2027,12.1782
RE1,S11,LNDBLT,1,2028,12.5743
RE1,S11,LNDBLT,1,2029,12.8713
RE1,S11,LNDBLT,1,2030,13.2673
RE1,S11,LNDBLT,1,2031,13.6634
RE1,S11,LNDBLT,1,2032,14.1584
RE1,S11,LNDBLT,1,2033,14.5545
RE1,S11,LNDBLT,1,2034,14.9505
RE1,S11,LNDBLT,1,2035,15.4455
RE1,S11,LNDFOR,1,2020,68.3594
RE1,S11,LNDFOR,1,2021,67.4414
RE1,S11,LNDFOR,1,2022,66.5625
RE1,S11,LNDFOR,1,2023,65.5957
RE1,S11,LNDFOR,1,2024,163.7129
RE1,S11,LNDFOR,1,2025,161.2624
RE1,S11,LNDFOR,1,2026,158.7129
RE1,S11,LNDFOR,1,2027,156.0644
RE1,S11,LNDFOR,1,2028,153.2921
RE1,S11,LNDFOR,1,2029,150.495
RE1,S11,LNDFOR,1,2030,147.7228
RE1,S11,LNDFOR,1,2031,144.7277
RE1,S11,LNDFOR,1,2032,141.7327
RE1,S11,LNDFOR,1,2033,138.6386
RE1,S11,LNDFOR,1,2034,135.5198
RE1,S11,LNDFOR,1,2035,132.302
RE1,S11,LNDMAIHI,1,2020,0.0
RE1,S11,LNDMAIHI,1,2021,0.0
RE1,S11,LNDMAIHI,1,2022,0.0
RE1,S11,LNDMAIHI,1,2023,0.0
RE1,S11,LNDMAIHI,1,2024,0.0
RE1,S11,LNDMAIHI,1,2025,0.0
RE1,S11,LNDMAIHI,1,2026,0.0
RE1,S11,LNDMAIHI,1,2027,0.0
RE1,S11,LNDMAIHI,1,2028,0.0
RE1,S11,LNDMAIHI,1,2029,0.0
RE1,S11,LNDMAIHI,1,2030,0.0
RE1,S11,LNDMAIHI,1,2031,0.0
RE1,S11,LNDMAIHI,1,2032,0.0
RE1,S11,LNDMAIHI,1,2033,0.0
RE1,S11,LNDMAIHI,1,2034,0.0
RE1,S11,LNDMAIHI,1,2035,0.0
RE1,S11,LNDMAIHR,1,2020,19.5312
RE1,S11,LNDMAIHR,1,2021,20.0195
RE1,S11,LNDMAIHR,1,2022,20.5078
RE1,S11,LNDMAIHR,1,2023,21.0449
RE1,S11,LNDMAIHR,1,2024,54.703
RE1,S11,LNDMAIHR,1,2025,56.0644
RE1,S11,LNDMAIHR,1,2026,57.4257
RE1,S11,LNDMAIHR,1,2027,58.7871
RE1,S11,LNDMAIHR,1,2028,60.2723
RE1,S11,LNDMAIHR,1,2029,61.8812
RE1,S11,LNDMAIHR,1,2030,63.3663
RE1,S11,LNDMAIHR,1,2031,64.9752
RE1,S11,LNDMAIHR,1,2032,66.5842
RE1,S11,LNDMAIHR,1,2033,68.1931
RE1,S11,LNDMAIHR,1,2034,69.9257
RE1,S11,LNDMAIHR,1,2035,71.6584
RE1,S11,LNDRICHI,1,2020,0.0
RE1,S11,LNDRICHI,1,2021,0.0
RE1,S11,LNDRICHI,1,2022,0.0
RE1,S11,LNDRICHI,1,2023,0.0
RE1,S11,LNDRICHI,1,2024,0.0
RE1,S11,LNDRICHI,1,2025,0.0
RE1,S11,LNDRICHI,1,2026,0.0
RE1,S11,LNDRICHI,1,2027,0.0
RE1,S11,LNDRICHI,1,2028,0.0
RE1,S11,LNDRICHI,1,2029,0.0
RE1,S11,LNDRICHI,1,2030,0.0
RE1,S11,LNDRICHI,1,2031,0.0
RE1,S11,LNDRICHI,1,2032,0.0
RE1,S11,LNDRICHI,1,2033,0.0
RE1,S11,LNDRICHI,1,2034,0.0
RE1,S11,LNDRICHI,1,2035,0.0
RE1,S11,LNDRICHR,1,2020,11.7188
RE1,S11,LNDRICHR,1,2021,12.0312
RE1,S11,LNDRICHR,1,2022,12.3047
RE1,S11,LNDRICHR,1,2023,12.6172
RE1,S11,LNDRICHR,1,2024,32.7723
RE1,S11,LNDRICHR,1,2025,33.5644
RE1,S11,LNDRICHR,1,2026,34.4554
RE1,S11,LNDRICHR,1,2027,35.3465
RE1,S11,LNDRICHR,1,2028,36.2376
RE1,S11,LNDRICHR,1,2029,37.1287
RE1,S11,LNDRICHR,1,2030,38.0198
RE1,S11,LNDRICHR,1,2031,39.0099
RE1,S11,LNDRICHR,1,2032,39.901
RE1,S11,LNDRICHR,1,2033,40.9901
RE1,S11,LNDRICHR,1,2034,41.9802
RE1,S11,LNDRICHR,1,2035,42.9703
RE1,S11,LNDWAT,1,2020,13.6719
RE1,S11,LNDWAT,1,2021,13.6719
RE1,S11,LNDWAT,1,2022,13.6719
RE1,S11,LNDWAT,1,2023,13.6719
RE1,S11,LNDWAT,1,2024,34.6535
RE1,S11,LNDWAT,1,2025,34.6535
RE1,S11,LNDWAT,1,2026,34.6535
RE1,S11,LNDWAT,1,2027,34.6535
RE1,S11,LNDWAT,1,2028,34.6535
RE1,S11,LNDWAT,1,2029,34.6535
RE1,S11,LNDWAT,1,2030,34.6535
RE1,S11,LNDWAT,1,2031,34.6535
RE1,S11,LNDWAT,1,2032,34.6535
RE1,S11,LNDWAT,1,2033,34.6535
