r,t,y,TotalTechnologyAnnualActivity
RE1,MINCOA,2020,321.6672
RE1,MINCOA,2021,321.6672
RE1,MINCOA,2022,321.6672
RE1,MINCOA,2023,321.6672
RE1,MINCOA,2024,321.6672
RE1,MINCOA,2025,321.6672
RE1,MINCOA,2026,321.6672
RE1,MINCOA,2027,321.6672
RE1,MINCOA,2028,321.6672
RE1,MINCOA,2029,321.6672
RE1,MINCOA,2030,160.8336
RE1,MINCOA,2031,160.8336
RE1,MINCOA,2032,160.8336
RE1,MINCOA,2033,160.8336
RE1,MINCOA,2034,160.8336
RE1,MINCOA,2035,160.8336
RE1,MINGAS,2020,39.9549
RE1,MINGAS,2021,47.1432
RE1,MINGAS,2022,56.9391
RE1,MINGAS,2023,66.0149
RE1,MINGAS,2024,72.8396
RE1,MINGAS,2025,78.6957
RE1,MINGAS,2026,84.4877
RE1,MINGAS,2027,87.6932
RE1,MINGAS,2028,82.5722
RE1,MINGAS,2029,82.8432
RE1,MINGAS,2030,180.4087
RE1,MINGAS,2031,175.5284
RE1,MINGAS,2032,159.8742
RE1,MINGAS,2033,149.6254
RE1,MINGAS,2034,126.6238
RE1,MINGAS,2035,109.6638
RE1,PWRGAS,2020,19.9774
RE1,PWRGAS,2021,23.5716
RE1,PWRGAS,2022,28.4695
RE1,PWRGAS,2023,33.0075
RE1,PWRGAS,2024,36.4198
RE1,PWRGAS,2025,39.3479
RE1,PWRGAS,2026,42.2438
RE1,PWRGAS,2027,43.8466
RE1,PWRGAS,2028,41.2861
RE1,PWRGAS,2029,41.4216
RE1,PWRGAS,2030,90.2043
RE1,PWRGAS,2031,87.7642
RE1,PWRGAS,2032,79.9371
RE1,PWRGAS,2033,74.8127
RE1,PWRGAS,2034,63.3119
RE1,PWRGAS,2035,54.8319
RE1,PWRCOA,2020,107.2224
RE1,PWRCOA,2021,107.2224
RE1,PWRCOA,2022,107.2224
RE1,PWRCOA,2023,107.2224
RE1,PWRCOA,2024,107.2224
RE1,PWRCOA,2025,107.2224
RE1,PWRCOA,2026,107.2224
RE1,PWRCOA,2027,107.2224
RE1,PWRCOA,2028,107.2224
RE1,PWRCOA,2029,107.2224
RE1,PWRCOA,2030,53.6112
RE1,PWRCOA,2031,53.6112
RE1,PWRCOA,2032,53.6112
RE1,PWRCOA,2033,53.6112
RE1,PWRCOA,2034,53.6112
RE1,PWRCOA,2035,53.6112
RE1,PWRTRN,2020,177.3952
RE1,PWRTRN,2021,191.2203
RE1,PWRTRN,2022,208.4316
RE1,PWRTRN,2023,226.764
RE1,PWRTRN,2024,245.0514
RE1,PWRTRN,2025,264.474
RE1,PWRTRN,2026,286.1186
RE1,PWRTRN,2027,307.7747
RE1,PWRTRN,2028,330.5668
RE1,PWRTRN,2029,355.5939
RE1,PWRTRN,2030,381.7382
RE1,PWRTRN,2031,408.8576
RE1,PWRTRN,2032,438.2085
RE1,PWRTRN,2033,468.6917
RE1,PWRTRN,2034,501.4088
RE1,PWRTRN,2035,535.2632
RE1,RSCLND,2020,300.0
RE1,RSCLND,2021,300.0
RE1,RSCLND,2022,300.0
RE1,RSCLND,2023,300.0
RE1,RSCLND,2024,300.0
RE1,RSCLND,2025,300.0
RE1,RSCLND,2026,300.0
RE1,RSCLND,2027,300.0
RE1,RSCLND,2028,300.0
