r,t,y,DiscountedSalvageValue
RE1,MINCOA,2020,0.0038
RE1,MINGAS,2020,0.0012
RE1,MINGAS,2021,0.0002
RE1,MINGAS,2022,0.0003
RE1,MINGAS,2023,0.0003
RE1,MINGAS,2024,0.0002
RE1,MINGAS,2025,0.0002
RE1,MINGAS,2026,0.0002
RE1,MINGAS,2027,0.0001
RE1,MINGAS,2030,0.0013
RE1,MINGAS,2031,0.0001
RE1,PWRGAS,2030,22.9695
RE1,PWRGAS,2031,187.7642
RE1,PWRTRN,2022,94.7096
RE1,PWRTRN,2023,308.7951
RE1,PWRTRN,2024,312.8401
RE1,PWRTRN,2025,337.1562
RE1,PWRTRN,2026,381.2618
RE1,PWRTRN,2027,386.9351
RE1,PWRTRN,2028,412.9994
RE1,PWRTRN,2029,459.818
RE1,PWRTRN,2030,487.032
RE1,PWRTRN,2031,512.5638
RE1,PWRTRN,2032,562.1561
RE1,PWRTRN,2033,591.5239
RE1,PWRTRN,2034,643.1185
RE1,PWRTRN,2035,674.0374
RE1,LNDMAIIRR,2022,0.3214
RE1,LNDMAIIRR,2023,0.6395
RE1,LNDMAIIRR,2024,0.9641
RE1,LNDMAIIRR,2025,1.3558
RE1,LNDMAIIRR,2026,1.6031
RE1,LNDMAIIRR,2027,1.9379
RE1,LNDMAIIRR,2028,2.3841
RE1,LNDMAIIRR,2029,2.7246
RE1,LNDMAIIRR,2030,3.0798
RE1,LNDMAIIRR,2031,0.9151
RE1,LNDMAIIRR,2032,1.0066
RE1,LNDMAIIRR,2033,1.0981
RE1,LNDMAIIRR,2034,1.1896
RE1,LNDMAIIRR,2035,1.3118
RE1,LNDRICIRR,2022,0.1808
RE1,LNDRICIRR,2023,0.3623
RE1,LNDRICIRR,2024,0.5466
RE1,LNDRICIRR,2025,0.7314
RE1,LNDRICIRR,2026,0.9219
RE1,LNDRICIRR,2027,1.0995
RE1,LNDRICIRR,2028,1.2901
RE1,LNDRICIRR,2029,1.4878
RE1,LNDRICIRR,2030,1.6681
RE1,LNDRICIRR,2031,0.3651
RE1,LNDRICIRR,2032,0.413
RE1,LNDRICIRR,2033,0.4631
RE1,LNDRICIRR,2034,0.5017
RE1,LNDRICIRR,2035,0.8554
RE1,LNDFOR,2021,153.8967
RE1,LNDFOR,2022,184.772
RE1,LNDFOR,2023,215.5744
RE1,LNDFOR,2024,246.3403
RE1,LNDFOR,2025,276.8765
RE1,LNDFOR,2026,309.134
RE1,LNDFOR,2027,337.3343
RE1,LNDFOR,2028,370.5669
RE1,LNDFOR,2029,398.2684
RE1,LNDFOR,2030,420.1026
RE1,LNDBLT,2021,268.5979
RE1,LNDBLT,2022,303.3576
RE1,LNDBLT,2023,376.037
RE1,LNDBLT,2024,404.4768
RE1,LNDBLT,2025,483.4762
RE1,LNDBLT,2026,505.596
RE1,LNDBLT,2027,590.9153
RE1,LNDBLT,2028,606.7152
RE1,LNDBLT,2029,698.3545
RE1,LNDBLT,2030,752.0741
RE1,LNDBLT,2031,47.3996
RE1,LNDBLT,2032,101.1192
RE1,LNDBLT,2033,107.4392
RE1,LNDBLT,2034,56.8796
RE1,LNDBLT,2035,120.079
RE1,PWRWND,2021,128.6658
RE1,PWRWND,2022,168.2985
RE1,PWRWND,2023,200.3357
RE1,PWRWND,2024,228.778
RE1,PWRWND,2025,267.7442
RE1,PWRWND,2026,320.4682
RE1,PWRWND,2027,359.8958
RE1,PWRWND,2028,476.7486
RE1,PWRWND,2029,489.3131
RE1,PWRWND,2030,634.5593
RE1,PWRWND,2031,646.278
RE1,PWRWND,2032,812.3566
RE1,PWRWND,2033,821.403
RE1,PWRWND,2034,1058.2674
RE1,PWRWND,2035,1049.1053
RE1,DEMAGRSURWAT,2023,0.5449
RE1,DEMAGRSURWAT,2024,1.5657
RE1,DEMAGRSURWAT,2025,1.8089
RE1,DEMAGRSURWAT,2026,1.9601
RE1,DEMAGRSURWAT,2027,2.1612
RE1,DEMAGRSURWAT,2028,2.4225
RE1,DEMAGRSURWAT,2029,2.6306
RE1,DEMAGRSURWAT,2030,2.837
RE1,DEMAGRSURWAT,2031,0.5536
RE1,DEMAGRSURWAT,2032,0.5953
RE1,DEMAGRSURWAT,2033,0.6375
RE1,DEMAGRSURWAT,2034,0.6751
RE1,DEMAGRSURWAT,2035,0.7271
RE1,DEMPWRSURWAT,2020,0.0119
RE1,DEMPWRSURWAT,2021,0.0371
RE1,DEMPWRSURWAT,2022,0.0555
RE1,DEMPWRSURWAT,2023,0.0646
RE1,DEMPWRSURWAT,2024,0.0658
RE1,DEMPWRSURWAT,2025,0.0729
RE1,DEMPWRSURWAT,2026,0.0871
RE1,DEMPWRSURWAT,2027,0.0839
RE1,DEMPWRSURWAT,2028,0.0477
RE1,DEMPWRSURWAT,2029,0.093
RE1,DEMPUBSURWAT,2021,2.2134
RE1,DEMPUBSURWAT,2022,3.171
RE1,DEMPUBSURWAT,2023,3.7995
RE1,DEMPUBSURWAT,2024,4.5137
RE1,DEMPUBSURWAT,2025,5.3351
RE1,DEMPUBSURWAT,2026,6.1421
RE1,DEMPUBSURWAT,2027,6.992
RE1,DEMPUBSURWAT,2028,8.0562
RE1,DEMPUBSURWAT,2029,9.006
RE1,DEMPUBSURWAT,2030,10.1988
RE1,DEMPUBSURWAT,2031,11.3558
RE1,DEMPUBSURWAT,2032,12.5699
RE1,DEMPUBSURWAT,2033,13.9626
RE1,DEMPUBSURWAT,2034,15.4267
RE1,DEMPUBSURWAT,2035,17.0979
